Flat profile:

Each sample counts as 0.01 seconds.
  %   cumulative   self              self     total           
 time   seconds   seconds    calls   s/call   s/call  name    
  0.31     84.80     0.33  9476277     0.00     0.00  camlPrintf__scan_fmt_1144
  0.31     85.13     0.33  9471418     0.00     0.00  caml_apply6
  0.30     85.45     0.32 15320519     0.00     0.00  camlPlanck__Sbuffer__create_1194
  0.30     85.77     0.32 10125928     0.00     0.00  camlBuffer__add_substring_1076
  0.28     86.07     0.30 89428110     0.00     0.00  camlToken__position_of_attr_2460
  0.28     86.37     0.30 25789059     0.00     0.00  camlPlanck__Pbase__start_2241
  0.28     86.67     0.30  8468001     0.00     0.00  camlPlphelper__fun_2778
  0.26     86.95     0.28 20148132     0.00     0.00  camlBuffer__create_1039
  0.26     87.23     0.28 17694112     0.00     0.00  camlToken__show_2416
  0.25     87.50     0.27  9903246     0.00     0.00  camlPlanck__Pbuffer__bytes_2733
  0.25     87.77     0.27  6262956     0.00     0.00  camlPlanck__Smemo__memoize_1117
  0.25     88.03     0.26                             caml_string_compare
  0.24     88.28     0.25 20043531     0.00     0.00  caml_curry4_2
  0.24     88.53     0.25 18403299     0.00     0.00  caml_is_printable
  0.23     88.77     0.24 31074300     0.00     0.00  camlPlanck__Pbase__fun_2893
  0.22     89.00     0.23 19926275     0.00     0.00  camlPrintf__scan_positional_1291
  0.21     89.22     0.22 49510534     0.00     0.00  camlInput__buf_2019
  0.21     89.44     0.22 19918985     0.00     0.00  camlPrintf__fun_1572
  0.20     89.65     0.21 19926275     0.00     0.00  camlPrintf__got_spec_1297
  0.20     89.86     0.21 19419299     0.00     0.00  camlPlanck__Sbuffer__bytes_1182
  0.19     90.06     0.20  2952928     0.00     0.00  camlPlanck__Pbuffer__fun_3308
  0.18     90.25     0.20  5434932     0.00     0.00  caml_obj_set_tag
  0.18     90.44     0.19   388580     0.00     0.00  camlPlparser__method_simple_expr_nonleftrec_9700
  0.18     90.64     0.19   223794     0.00     0.00  camlLex__fun_4954
  0.17     90.81     0.18 42056332     0.00     0.00  invert_pointer_at
  0.17     91.00     0.18 29402552     0.00     0.00  camlPrintf__index_of_int_1037
  0.17     91.17     0.18 25795149     0.00     0.00  camlInput__equal_elem_1863
  0.17     91.36     0.18 17694112     0.00     0.00  camlToken__sexp_of_t_2380
  0.17     91.53     0.18  1340120     0.00     0.00  camlLex__fun_4759
  0.16     91.70     0.17 22717544     0.00     0.00  compact_allocate
  0.16     91.88     0.17  9471418     0.00     0.00  camlPrintf__sprintf_1413
  0.16     92.05     0.17                             camlSpotlib__Monad__ignore_1195
  0.15     92.20     0.16 23222241     0.00     0.00  caml_hash_univ_param
  0.15     92.36     0.16  5434932     0.00     0.00  camlCamlinternalLazy__force_lazy_block_1032
  0.14     92.52     0.15 38961874     0.00     0.00  camlPlanck__Sbuffer__advance_char_1184
  0.14     92.67     0.15 19926275     0.00     0.00  camlPrintf__get_arg_1288
  0.14     92.81     0.15 16312791     0.00     0.00  camlToken__equal_elem_2422
  0.14     92.97     0.15 16060227     0.00     0.00  caml_string_length
  0.14     93.11     0.15  9471418     0.00     0.00  camlPrintf__mkprintf_1345
  0.14     93.27     0.15  9471418     0.00     0.00  caml_curry7_6
  0.14     93.42     0.15  2640515     0.00     0.00  caml_parse_engine
  0.14     93.56     0.15  1120978     0.00     0.00  camlLex__comment_internal_2833
  0.13     93.70     0.14 10667675     0.00     0.00  camlPlanck__Sbuffer__advance_string_1186
  0.13     93.84     0.14 10514216     0.00     0.00  caml_notequal
  0.13     93.98     0.14 10445140     0.00     0.00  camlChar__escaped_1038
  0.13     94.12     0.14  9505936     0.00     0.00  caml_curry4
  0.13     94.27     0.14  5348515     0.00     0.00  camlXlocation__add_rhs_pos_3123
  0.13     94.40     0.14 19434707     0.00     0.00  caml_lessequal
  0.13     94.53     0.14  9308578     0.00     0.00  caml_greaterequal
  0.13     94.67     0.14                             caml_obj_is_block
  0.12     94.80     0.13 19926275     0.00     0.00  camlPrintf__add_int_index_1040
  0.12     94.93     0.13 19434707     0.00     0.00  camlPervasives__min_1022
  0.12     95.06     0.13  9481137     0.00     0.00  camlPrintf__scan_flags_1142
  0.12     95.19     0.13  9476277     0.00     0.00  camlPrintf__ac_of_format_1184
  0.12     95.32     0.13  9476277     0.00     0.00  camlPrintf__iter_on_format_args_1137
  0.12     95.45     0.13  9476277     0.00     0.00  camlPrintf__kapr_1209
  0.12     95.58     0.13  8468001     0.00     0.00  camlPlphelper__with_rhs_2448
  0.12     95.71     0.13  2952928     0.00     0.00  camlPlanck__Pbuffer__$3c$2f$3e_2810
  0.12     95.84     0.13                             camlSexplib__Pre_sexp__must_escape_1111
  0.12     95.97     0.12   144941     0.00     0.00  caml_fill_string
  0.11     96.08     0.12  9471418     0.00     0.00  caml_curry7_3
  0.11     96.20     0.12  9371775     0.00     0.00  caml_tuplify2
  0.11     96.33     0.12  9308577     0.00     0.00  camlHashtbl__create_1051
  0.11     96.44     0.12  4649519     0.00     0.00  camlPlanck__Sbuffer__fun_1328
  0.11     96.56     0.12  3476386     0.00     0.00  camlPlanck__Pbase__$3c$26$3e_2617
  0.11     96.69     0.12  3196788     0.00     0.00  camlPlphelper__fun_2784
  0.11     96.81     0.12                             camlSexplib__Pre_sexp__maybe_esc_str_1116
  0.10     96.92     0.11 19916556     0.00     0.00  camlPrintf__fun_1710
  0.10     97.03     0.11 10667675     0.00     0.00  camlPlanck__Sbuffer__fold_1190
  0.10     97.14     0.11  9592601     0.00     0.00  caml_curry4_1
  0.10     97.25     0.11  9481137     0.00     0.00  camlPrintf__scan_conv_1143
  0.10     97.36     0.11  6262956     0.00     0.00  camlPlphelper__rule_2461
  0.10     97.47     0.11  6262956     0.00     0.00  camlToken__memo_2618
  0.10     97.58     0.11  5377748     0.00     0.00  camlList__exists_1141
  0.10     97.69     0.11  3262219     0.00     0.00  camlPlphelper__leftrec_2505
  0.10     97.80     0.11  3040846     0.00     0.00  camlXlocation__calc_symbol_rloc_3152
  0.10     97.90     0.10     3356     0.00     0.00  caml_stat_alloc
  0.09     98.00     0.10  9481137     0.00     0.00  camlPrintf__incr_ac_1187
  0.09     98.10     0.10  8530301     0.00     0.00  camlXlocation__push_rhs_tbl_3096
  0.09     98.20     0.10  4156535     0.00     0.00  camlPlanck__Pbase__return_2257
  0.09     98.30     0.10  3040846     0.00     0.00  camlPlphelper__fun_2798
  0.09     98.40     0.10  1846285     0.00     0.00  camlLex__fun_4007
  0.09     98.50     0.10                             camlSexplib__Pre_sexp__to_string_hum_1245
  0.08     98.59     0.09 11030505     0.00     0.00  caml_string_equal
  0.08     98.68     0.09  1884101     0.00     0.00  caml_new_lex_engine
  0.08     98.77     0.09  1091513     0.00     0.00  camlPlparser__method_mod_longident_8133
  0.08     98.86     0.09   778270     0.00     0.00  camlToken__fun_3741
  0.08     98.94     0.08 10139965     0.00     0.00  camlPlanck__Pbase__set_stream_2679
  0.08     99.02     0.08  9471418     0.00     0.00  caml_curry7
  0.08     99.10     0.08  9308578     0.00     0.00  camlPervasives__max_1025
  0.08     99.18     0.08  6976315     0.00     0.00  caml_compare
  0.08     99.26     0.08  4662466     0.00     0.00  camlList__rev_append_1051
  0.08     99.34     0.08  4364280     0.00     0.00  camlXlocation__fun_3312
  0.08     99.42     0.08  1120947     0.00     0.00  camlLex__fun_4140
  0.07     99.49     0.07  9471418     0.00     0.00  caml_curry7_2
  0.07     99.56     0.07  3040846     0.00     0.00  camlList__find_1207
  0.07     99.63     0.07   791510     0.00     0.00  camlPlphelper__loop_2518
  0.06     99.69     0.06 19926275     0.00     0.00  camlPrintf__scan_flags_1292
  0.06     99.75     0.06 19926275     0.00     0.00  camlPrintf__scan_positional_spec_1252
  0.06     99.81     0.06 10789263     0.00     0.00  camlHashtbl__replace_bucket_1116
  0.06     99.87     0.06  9471418     0.00     0.00  camlPrintf__get_buff_1402
  0.06     99.93     0.06  9471418     0.00     0.00  camlPrintf__ksprintf_1411
  0.06     99.99     0.06  9471418     0.00     0.00  caml_curry7_5
  0.06    100.05     0.06  8530301     0.00     0.00  camlXlocation__pop_rhs_tbl_3115
  0.06    100.11     0.06  5377748     0.00     0.00  camlPlanck__Pbase__fun_2901
  0.06    100.17     0.06  4649519     0.00     0.00  camlPlanck__Lazylist__cons_desc_1044
  0.06    100.23     0.06  2952928     0.00     0.00  camlPlanck__Pbuffer__fun_3325
  0.06    100.29     0.06  2012940     0.00     0.00  camlPlphelper__fun_2901
  0.06    100.35     0.06  1102850     0.00     0.00  camlLex__fun_4163
  0.06    100.41     0.06   777160     0.00     0.00  camlPlparser__method_expr_semi_list_9276
  0.06    100.47     0.06   553605     0.00     0.00  camlPlanck__Sbuffer__iter_internal_1240
  0.06    100.53     0.06                             caml_greaterthan
  0.05    100.58     0.05 27944747     0.00     0.00  camlToken__last_position_of_attr_2462
  0.05    100.63     0.05  9471418     0.00     0.00  caml_curry7_1
  0.05    100.68     0.05  3587939     0.00     0.00  camlPlanck__Pbase__fun_2869
  0.05    100.73     0.05  3290273     0.00     0.00  camlCamlinternalOO__fun_1802
  0.05    100.78     0.05  2952928     0.00     0.00  camlPlanck__Pbuffer__fun_3305
  0.05    100.83     0.05  1413535     0.00     0.00  camlPlphelper__fun_2927
  0.05    100.88     0.05  1413119     0.00     0.00  camlLex__comment_2832
  0.05    100.93     0.05  1102925     0.00     0.00  camlLex__fun_4156
  0.05    100.98     0.05  1102846     0.00     0.00  camlLex__fun_4175
  0.05    101.03     0.05   778270     0.00     0.00  camlLex__fun_5320
  0.05    101.08     0.05   388580     0.00     0.00  camlPlparser__method_simple_exprX_9702
  0.05    101.13     0.05     2449     0.00     0.00  caml_do_local_roots
  0.05    101.18     0.05                             camlSpotlib__Monad__fun_1372
  0.04    101.22     0.04    93126     0.00     0.00  caml_empty_minor_heap
  0.04    101.27     0.04  9488744     0.00     0.00  camlPlanck__Pbuffer__fun_3223
  0.04    101.31     0.04  9481137     0.00     0.00  camlPrintf__add_conv_1191
  0.04    101.34     0.04  9471418     0.00     0.00  caml_curry7_4
  0.04    101.39     0.04  3262219     0.00     0.00  camlPlphelper__fun_2849
  0.04    101.42     0.04  3040846     0.00     0.00  camlList__find_all_1205
  0.04    101.47     0.04  3040846     0.00     0.00  camlPlphelper__fun_2845
  0.04    101.50     0.04  2464789     0.00     0.00  camlPlanck__Pbase__eos_2397
  0.04    101.55     0.04  2359505     0.00     0.00  camlLex__fun_4000
  0.04    101.58     0.04  2148801     0.00     0.00  camlList__hd_1036
  0.04    101.62     0.04  1475940     0.00     0.00  camlLex__fun_4010
  0.04    101.67     0.04  1364522     0.00     0.00  camlPlanck__Pbase__$3f$2b_2520
  0.04    101.70     0.04  1157629     0.00     0.00  camlPlanck__Pbase__option_2466
  0.04    101.75     0.04  1102846     0.00     0.00  camlLex__fun_4166
  0.04    101.78     0.04   802126     0.00     0.00  camlLex__fun_4037
  0.04    101.83     0.04   778270     0.00     0.00  camlLex__fun_5339
  0.04    101.86     0.04   778270     0.00     0.00  camlLex__ocaml_token_3344
  0.04    101.91     0.04   553605     0.00     0.00  camlPlanck__Sbuffer__iter_1230
  0.04    101.94     0.04   498320     0.00     0.00  camlPlparser__fun_11472
  0.04    101.98     0.04   373157     0.00     0.00  camlLex__fun_4778
  0.04    102.03     0.04   372530     0.00     0.00  camlPlparser__fun_17653
  0.04    102.06     0.04   371623     0.00     0.00  camlPlparser__fun_23018
  0.04    102.11     0.04   352498     0.00     0.00  camlPlparser__fun_17608
  0.04    102.14     0.04   316035     0.00     0.00  camlPlparser__fun_22915
  0.04    102.19     0.04   289792     0.00     0.00  camlPlparser__fun_22922
  0.04    102.22     0.04   175091     0.00     0.00  camlLex__string_internal_2699
  0.04    102.27     0.04   134180     0.00     0.00  camlPlparser__fun_16528
  0.04    102.31     0.04      809     0.00     0.00  camlParsing__loop_1169
  0.04    102.34     0.04                             compare_stack_overflow
  0.03    102.38     0.04                             caml_bitvect_test
  0.03    102.41     0.03  6081692     0.00     0.00  camlXlocation__calc_rhs_loc_3145
  0.03    102.44     0.03  4651616     0.00     0.00  camlInput__create_attr_2017
  0.03    102.47     0.03  2323534     0.00     0.00  camlLex__is_identchar_2695
  0.03    102.50     0.03  2230448     0.00     0.00  camlParsing__peek_val_1186
  0.03    102.53     0.03  1475940     0.00     0.00  camlLex__fun_4012
  0.03    102.56     0.03  1259045     0.00     0.00  caml_apply7
  0.03    102.59     0.03  1259045     0.00     0.00  caml_curry8_3
  0.03    102.62     0.03  1103503     0.00     0.00  camlLex__fun_4147
  0.03    102.65     0.03  1102966     0.00     0.00  camlLex__fun_4150
  0.03    102.68     0.03  1098129     0.00     0.00  camlLex__fun_4178
  0.03    102.71     0.03   982581     0.00     0.00  camlLex__with_pos_2951
  0.03    102.74     0.03   802126     0.00     0.00  camlLex__fun_4183
  0.03    102.77     0.03   778270     0.00     0.00  camlLex__fun_5322
  0.03    102.80     0.03   744509     0.00     0.00  camlLex__return_with_pos_2957
  0.03    102.83     0.03   627346     0.00     0.00  camlPlanck__Pbuffer__fun_3264
  0.03    102.86     0.03   551585     0.00     0.00  camlPlanck__Pbuffer__takeWhile_2752
  0.03    102.89     0.03   551585     0.00     0.00  camlPlanck__Sbuffer__finish_1234
  0.03    102.92     0.03   507196     0.00     0.00  camlPlparser__fun_23135
  0.03    102.95     0.03   381041     0.00     0.00  camlPlparser__fun_22750
  0.03    102.98     0.03   374585     0.00     0.00  camlPlparser__fun_17644
  0.03    103.01     0.03   369116     0.00     0.00  camlLex__int64_2667
  0.03    103.04     0.03   350563     0.00     0.00  camlPlparser__fun_11500
  0.03    103.07     0.03   316035     0.00     0.00  camlPlparser__fun_17701
  0.03    103.10     0.03   296765     0.00     0.00  camlLex__char_2821
  0.03    103.13     0.03   295079     0.00     0.00  camlLex__fun_4817
  0.03    103.16     0.03   245923     0.00     0.00  camlPlparser__fun_18026
  0.03    103.19     0.03   182221     0.00     0.00  camlPlparser__method_expr_leftrec_9806
  0.03    103.22     0.03   180840     0.00     0.00  camlPlparser__fun_17010
  0.03    103.25     0.03   169474     0.00     0.00  camlPlparser__method_expr_nonleftrec_10010
  0.03    103.28     0.03     8239     0.00     0.00  caml_copy_string
  0.03    103.31     0.03      285     0.00     0.00  caml_fl_reset
  0.03    103.34     0.03                             caml_raise_exn
  0.02    103.36     0.03                             caml_set_allocation_policy
  0.02    103.39     0.03                             caml_string_get
  0.02    103.41     0.02  3040846     0.00     0.00  camlPlphelper__fold_2468
  0.02    103.43     0.02  3040846     0.00     0.00  camlPlphelper__get_poses_2465
  0.02    103.45     0.02  1476464     0.00     0.00  camlLex__fun_4014
  0.02    103.47     0.02  1259045     0.00     0.00  caml_curry8_5
  0.02    103.49     0.02  1209180     0.00     0.00  camlXlocation__to_lexing_position_3023
  0.02    103.51     0.02  1122762     0.00     0.00  caml_lex_engine
  0.02    103.53     0.02  1102925     0.00     0.00  camlLex__fun_4153
  0.02    103.55     0.02  1102846     0.00     0.00  camlLex__fun_4169
  0.02    103.57     0.02  1102846     0.00     0.00  camlLex__fun_4172
  0.02    103.59     0.02   670156     0.00     0.00  camlPlphelper__fun_2946
